city,state,primary_zip,county,valid_zips
"AARONSBURG","PA","16820","CENTRE","16820"
"ABAC","GA","31794","TIFT","31794"
"ABBEVILLE","AL","36310","HENRY","36310"
"ABBEVILLE","GA","31001","WILCOX","31001"
"ABBEVILLE","LA","70510","VERMILION","70510;70511"
"ABBEVILLE","MS","38601","LAFAYETTE","38601"
"ABBEVILLE","SC","29620","ABBEVILLE","29620"
"ABBOT VILLAGE","ME","04406","PISCATAQUIS","04406"
"ABBOTSFORD","WI","54405","CLARK","54405"
"ABBOTT PARK","IL","60064","LAKE","60064"
"ABBOTTSTOWN","PA","17301","ADAMS","17301"
"ABBOTT","TX","76621","HILL","76621"
"ABBOT","ME","04406","PISCATAQUIS","04406"
"ABBYVILLE","KS","67510","RENO","67510"
"ABELL","MD","20606","ST. MARYS","20606"
"ABERCROMBIE","ND","58001","RICHLAND","58001"
"ABERDEEN PROVING GROUND","MD","21005","HARFORD","21005"
"ABERDEEN PROVING","MD","21005","HARFORD","21005"
"ABERDEEN","ID","83210","BINGHAM","83210"
"ABERDEEN","KY","42201","BUTLER","42201"
"ABERDEEN","MD","21001","HARFORD","21001"
"ABERDEEN","MS","39730","MONROE","39730"
"ABERDEEN","NC","28315","MOORE","28315"
"ABERDEEN","OH","45101","BROWN","45101"
"ABERDEEN","SD","57401","BROWN","57401;57402"
"ABERDEEN","WA","98520","GRAYS HARBOR","98520"
"ABERNANT","AL","35440","TUSCALOOSA","35440"
"ABERNATHY","TX","79311","HALE","79311"
"ABIE","NE","68001","BUTLER","68001"
"ABILENE","KS","67410","DICKINSON","67410"
"ABILENE","TX","79601","TAYLOR","79601;79602;79603;79604;79605;79606;79608;79697;79698;79699"
"ABINGDON","IL","61410","KNOX","61410"
"ABINGDON","MD","21009","HARFORD","21009"
"ABINGDON","VA","24210","WASHINGTON","24210;24211;24212"
"ABINGTON","CT","06230","NORTHEASTERN CONNECTICUT","06230"
"ABINGTON","MA","02351","PLYMOUTH","02351"
"ABINGTON","PA","19001","MONTGOMERY","19001"
"ABIQUIU","NM","87510","RIO ARRIBA","87510"
"ABITA SPRINGS","LA","70420","ST. TAMMANY","70420"
"ABRAHAM","WV","25918","RALEIGH","25918"
"ABRAMS","WI","54101","OCONTO","54101"
"ABSARAKA","ND","58002","CASS","58002"
"ABSAROKEE","MT","59001","STILLWATER","59001"
"ABSECON","NJ","08201","ATLANTIC","08201;08205"
"ACADEMY","SD","57369","CHARLES MIX","57369"
"ACAMPO","CA","95220","SAN JOAQUIN","95220"
"ACCIDENT","MD","21520","GARRETT","21520"
"ACCOKEEK","MD","20607","PRINCE GEORGES","20607"
"ACCOMAC","VA","23301","ACCOMACK","23301"
"ACCORD","MA","02018","PLYMOUTH","02018"
"ACCORD","NY","12404","ULSTER","12404"
